doc_type,meeting_date,avail_date,release_estimated,n_chars,lex_abg_hawk,lex_abg_dove,lex_abg_net,lex_abg_fomc_hawk,lex_abg_fomc_dove,lex_abg_fomc_net,emb_score,emb_coverage
statement,2006-01-31,2006-01-31,False,1425,0,0,0.0,1,0,0.5,-0.013754205449464757,1.0
statement,2006-03-28,2006-03-28,False,1754,0,0,0.0,1,1,0.0,-0.02090668965181807,1.0
statement,2006-05-10,2006-05-10,False,1868,0,0,0.0,1,0,0.5,-0.013243978625619457,0.9473684210526315
statement,2006-06-29,2006-06-29,False,1834,0,0,0.0,1,1,0.0,-0.01295199515257697,1.0
statement,2006-08-08,2006-08-08,False,1399,0,0,0.0,1,1,0.0,-0.015184133307703936,1.0
statement,2006-09-20,2006-09-20,False,1347,0,0,0.0,1,0,0.5,-0.007607493793569914,1.0
statement,2006-10-25,2006-10-25,False,1362,0,0,0.0,1,1,0.0,-0.013892479038354768,1.0
statement,2006-12-12,2006-12-12,False,1436,0,0,0.0,1,1,0.0,-0.01825741100924419,1.0
statement,2007-01-31,2007-01-31,False,1128,0,0,0.0,0,0,0.0,-0.02626780779989467,1.0
statement,2007-03-21,2007-03-21,False,1072,0,0,0.0,0,0,0.0,-0.03195386553379083,1.0
statement,2007-05-09,2007-05-09,False,1057,0,0,0.0,1,1,0.0,-0.03289558643967883,0.9411764705882353
statement,2007-06-18,2007-06-18,False,1153,0,0,0.0,0,0,0.0,-0.03408384941354729,1.0
statement,2007-08-07,2007-08-07,False,1365,1,0,0.5,2,1,0.25,-0.031511057149922445,1.0
statement,2007-08-10,2007-08-10,False,545,0,0,0.0,0,0,0.0,-0.014726539029437564,1.0
statement,2007-08-17,2007-08-17,False,834,1,0,0.5,1,0,0.5,-0.01702966728555453,1.0
statement,2007-09-18,2007-09-18,False,1685,0,0,0.0,0,2,-0.6666666666666666,-0.01642591714181372,1.0
statement,2007-10-31,2007-10-31,False,1950,0,0,0.0,1,1,0.0,-0.020893776805301786,1.0
statement,2007-12-11,2007-12-11,False,1879,0,0,0.0,0,2,-0.6666666666666666,-0.017667344324069748,1.0
minutes,2007-10-31,2008-01-17,False,74742,12,6,0.3157894736842105,32,42,-0.13333333333333333,-0.026113503938501183,1.0
minutes,2007-12-11,2008-01-22,False,519872,200,30,0.7359307359307359,340,211,0.23369565217391305,-0.019472307564561267,1.0
statement,2008-01-22,2008-01-22,False,1643,0,0,0.0,0,1,-0.5,-0.024770069346928672,1.0
statement,2008-01-30,2008-01-30,False,1629,0,0,0.0,0,2,-0.6666666666666666,-0.015282820987405497,1.0
minutes,2008-01-30,2008-02-20,False,167325,42,12,0.5454545454545454,63,114,-0.28651685393258425,-0.010159456624226373,1.0
statement,2008-03-11,2008-03-11,False,8963,0,0,0.0,0,0,0.0,-0.023411272502050343,1.0
statement,2008-03-18,2008-03-18,False,1918,1,0,0.5,3,3,0.0,-0.02904518681767219,1.0
minutes,2008-03-18,2008-04-08,False,40045,6,5,0.08333333333333333,26,30,-0.07017543859649122,-0.020318173379130347,1.0
statement,2008-04-30,2008-04-30,False,2029,2,0,0.6666666666666666,3,3,0.0,-0.022950529684303212,1.0
minutes,2008-04-30,2008-05-21,False,87885,22,6,0.5517241379310345,48,46,0.021052631578947368,-0.021946627492365766,1.0
statement,2008-06-25,2008-06-25,False,1653,2,0,0.6666666666666666,3,2,0.16666666666666666,-0.02625404353777915,1.0
statement,2008-08-05,2008-08-05,False,1618,1,0,0.5,2,2,0.0,-0.028253189831620333,1.0
minutes,2008-08-05,2008-08-26,False,34111,12,4,0.47058823529411764,22,28,-0.11764705882352941,-0.011958219944049898,1.0
statement,2008-09-16,2008-09-16,False,1464,1,0,0.5,1,3,-0.4,-0.027512540673238384,1.0
minutes,2008-09-16,2008-10-07,False,29943,7,2,0.5,19,30,-0.22,-0.019348572644681768,1.0
statement,2008-10-08,2008-10-08,False,5591,2,2,0.0,2,4,-0.2857142857142857,-0.030456320208215665,1.0
statement,2008-10-29,2008-10-29,False,1933,0,0,0.0,0,3,-0.75,-0.01893001648011984,1.0
minutes,2008-10-29,2008-11-19,False,52725,6,6,0.0,8,32,-0.5853658536585366,-0.01635841370061709,1.0
statement,2008-12-16,2008-12-16,False,2695,0,0,0.0,0,3,-0.75,-0.0077904926044282405,1.0
minutes,2008-12-16,2009-01-06,False,50303,1,8,-0.7,5,47,-0.7924528301886793,-0.01715763120177546,1.0
